0	37.00
1	37.00
2	37.00
3	37.00
4	37.00
5	37.00
6	37.00
7	37.00
8	37.00
9	37.00
10	37.00
11	37.00
12	37.00
13	37.00
14	37.00
15	37.00
16	37.01
17	37.01
18	37.01
19	37.01
20	37.02
21	37.02
22	37.03
23	37.03
24	37.04
25	37.05
26	37.06
27	37.07
28	37.08
29	37.09
30	37.10
31	37.12
32	37.13
33	37.15
34	37.16
35	37.18
36	37.20
37	37.22
38	37.24
39	37.26
40	37.28
41	37.31
42	37.33
43	37.36
44	37.38
45	37.41
46	37.44
47	37.46
48	37.49
49	37.52
50	37.55
51	37.58
52	37.61
53	37.65
54	37.68
55	37.71
56	37.74
57	37.78
58	37.81
59	37.85
60	37.88
61	37.91
62	37.95
63	37.99
64	38.02
65	38.06
66	38.09
67	38.13
68	38.17
69	38.20
70	38.24
71	38.28
72	38.32
73	38.35
74	38.39
75	38.43
76	38.47
77	38.50
78	38.54
79	38.58
80	38.62
81	38.65
82	38.69
83	38.73
84	38.77
85	38.81
86	38.84
87	38.88
88	38.92
89	38.96
90	38.99
91	39.03
92	39.07
93	39.11
94	39.14
95	39.18
96	39.22
97	39.26
98	39.29
99	39.33
100	39.37
101	39.40
102	39.44
103	39.48
104	39.52
105	39.55
106	39.59
107	39.62
108	39.66
109	39.70
110	39.73
111	39.77
112	39.80
113	39.84
114	39.87
115	39.91
116	39.95
117	39.98
118	40.02
119	40.05
120	40.09
121	40.12
122	40.15
123	40.19
124	40.22
125	40.26
126	40.29
127	40.32
128	40.36
129	40.39
130	40.43
131	40.46
132	40.49
133	40.52
134	40.56
135	40.59
136	40.62
137	40.66
138	40.69
139	40.72
140	40.75
141	40.78
142	40.82
143	40.85
144	40.88
145	40.91
146	40.94
147	40.97
148	41.00
149	41.03
150	41.07
151	41.10
152	41.13
153	41.16
154	41.19
155	41.22
156	41.25
157	41.28
158	41.31
159	41.34
160	41.37
161	41.40
162	41.42
163	41.45
164	41.48
165	41.51
166	41.54
167	41.57
168	41.60
169	41.63
170	41.65
171	41.68
172	41.71
173	41.74
174	41.77
175	41.79
176	41.82
177	41.85
178	41.88
179	41.90
180	41.93
181	41.96
182	41.98
183	42.01
184	42.04
185	42.06
186	42.09
187	42.12
188	42.14
189	42.17
190	42.19
191	42.22
192	42.25
193	42.27
194	42.30
195	42.32
196	42.35
197	42.37
198	42.40
199	42.42
200	42.45
201	42.47
202	42.50
203	42.52
204	42.54
205	42.57
206	42.59
207	42.62
208	42.64
209	42.67
210	42.69
211	42.71
212	42.74
213	42.76
214	42.78
215	42.81
216	42.83
217	42.85
218	42.87
219	42.90
220	42.92
221	42.94
222	42.97
223	42.99
224	43.01
225	43.03
226	43.05
227	43.08
228	43.10
229	43.12
230	43.14
231	43.16
232	43.19
233	43.21
234	43.23
235	43.25
236	43.27
237	43.29
238	43.31
239	43.33
240	43.35
241	43.37
242	43.40
243	43.42
244	43.44
245	43.46
246	43.48
247	43.50
248	43.52
249	43.54
250	43.56
251	43.58
252	43.60
253	43.62
254	43.64
255	43.66
256	43.67
257	43.69
258	43.71
259	43.73
260	43.75
261	43.77
262	43.79
263	43.81
264	43.83
265	43.85
266	43.86
267	43.88
268	43.90
